Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
"Rakdos Performer, High-Wire Acrobat",Medium humanoid,Chaotic Evil,13,22 (4d8 + 4),40ft.,13,17,12,10,8,15,"Dex: +5, Cha: +4","acrobatics: +7, performance: +4",None,None,None,None,passive perception 9,any one language (usually Common),1,"
Nimble: The performer can take the Disengage action as a bonus action on each of its turns.","
Multiattack: The acrobat makes two attacks with its barbed pole.
Barbed Pole: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage, and the acrobat can jump up to 20 feet. This movement doesn't provoke opportunity attacks.",None,not in this JSON,"Rakdos Performer, High-Wire Acrobat - Monsters | DnD Wiki","Rakdos Performer, High-Wire Acrobat is a CR 1, Chaotic Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Reckoner,Medium humanoid,Lawful Neutral,18 ( plate armor),52 (8d8 + 16),30ft.,16,12,15,15,12,10,None,"arcana: +4, intimidation: +2, perception: +3",None,None,None,None,passive perception 13,Common plus any one language,4,"
First Strike: The reckoner has advantage on initiative rolls.","
Longsword: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.",None,not in this JSON,Reckoner - Monsters | DnD Wiki,"Reckoner is a CR 4, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Rubblebelt Stalker,Medium humanoid,Chaotic Neutral,14 (piecemeal armor),11 (2d8 + 2),30ft.,10,15,12,10,14,8,None,"athletics: +2, perception: +4, stealth: +4",None,None,None,None,passive perception 14,any one language (usually Common),1/2,"
Ambusher: In the first round of a combat, the stalker has advantage on attack rolls against any creature that hasn't taken a turn yet.
Nimble Escape: The stalker can take the Disengage or Hide action as a bonus action on each of its turns.
Ruin Dweller: The stalker has advantage on Dexterity (Stealth) checks made to hide in ruins, and its speed is not reduced in difficult terrain composed of rubble.
Siege Monster: The stalker deals double damage to objects and structures.","
Multiattack: The stalker makes three attacks with its shortsword.
Shortsword: {@atk m +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",None,not in this JSON,Rubblebelt Stalker - Monsters | DnD Wiki,"Rubblebelt Stalker is a CR 1/2, Chaotic Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Scorchbringer Guard,Medium humanoid,Chaotic Neutral,16 ( breastplate),11 (2d8 + 2),30ft.,13,14,12,10,9,10,None,None,None,None,None,None,passive perception 9,any one language (usually Common),1/2,"
Explosive Tank: When the guard dies, or if it rolls a 1 when checking whether its Scorchbringer action recharges, the tank on its back explodes in a 10-foot radius sphere. Each creature in that area must make a {@dc 12 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects that aren't being worn or carried, and it destroys the scorchbringer.","
Light Hammer: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.
Scorchbringer  - Recharge  4: The guard's scorchbringer spouts a stream of flame in a line that is 30 feet long and 5 feet wide. Each creature in the line must make a DC: 12 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.",None,not in this JSON,Scorchbringer Guard - Monsters | DnD Wiki,"Scorchbringer Guard is a CR 1/2, Chaotic Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Servitor Thrull,Small construct,Unaligned,11,22 (4d6 + 8),30ft.,11,13,14,6,6,3,None,None,None,None,poison,"exhaustion, poisoned","darkvision 60 ft., passive perception 8","""understands Common but cant speak""",1/4,error,"
Claws: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.",None,not in this JSON,Servitor Thrull - Monsters | DnD Wiki,"Servitor Thrull is a CR 1/4, Unaligned, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Shadow Horror,Large aberration,Lawful Evil,13,120 (16d10 + 32),40ft.,12,16,14,2,17,18,None,"perception: +7, stealth: +11",radiant,None,None,frightened,"darkvision 120 ft., passive perception 17",error,9,"
Incorporeal Movement: The horror can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.
Shadow Stealth: While in dim light or darkness, the horror can take the Hide action as a bonus action.
Shadow Stride: As a bonus action, the horror can step into a shadow within 5 feet of it and magically appear in an unoccupied space within 5 feet of a second shadow that is up to 60 feet away. Both shadows must be cast by a Small or larger creature or object.
Sunlight Sensitivity: While in sunlight, the horror has disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight.","
Multiattack: The horror makes three attacks: one with its bite and two with its claws.
Bite: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 21 (4d8 + 3) piercing damage.
Claw: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (3d6 + 3) slashing damage, and the target must succeed on a DC: 16 Wisdom saving throw or be frightened of the horror until the end of the target's next turn.
Lashing Shadows  - Recharge  5: Each creature within 60 feet of the horror, except other horrors, must succeed on a DC: 16 Dexterity saving throw or take 27 (6d8) necrotic damage.",None,not in this JSON,Shadow Horror - Monsters | DnD Wiki,"Shadow Horror is a CR 9, Lawful Evil, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Simic Merfolk,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,"30ft., swim 40ft.",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,"Common, Merfolk",NOT FOUND,error,error,None,not in this JSON,Simic Merfolk - Monsters | DnD Wiki,"Simic Merfolk is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Sire of Insanity,Huge fiend,Chaotic Evil,17 (natural armor),157 (15d12 + 60),40ft.,23,6,19,14,19,22,"Con: +8, Int: +6, Wis: +8, Cha: +10","deception: +10, intimidation: +10",None,"cold, fire, lightning; and bludgeoning, piercing and slashing from nonmagical attacks",poison,poisoned,"truesight 120 ft., passive perception 14","Abyssal, Common, telepathy 120 ft.",12,"
Aura of Mind Erosion: Any creature that starts its turn within 30 feet of the sire must make a {@dc 18 Wisdom saving throw. On a successful save, the creature is immune to this aura for the next 24 hours. On a failed save, the creature has disadvantage for 1 minute on Wisdom and Charisma checks and on Wisdom and Charisma saves. At the start of each of its turns, the sire can suppress this aura until the start of its next turn.
Magic Resistance: The sire has advantage on saving throws against spells and other magical effects.","
Multiattack: The sire makes two attacks: one with its bite and one with its claws.
Bite: Melee Weapon Attack: +10 to hit, reach 5 ft., one creature. Hit: 25 (3d12 + 6) piercing damage plus 16 (3d10) psychic damage.
Claws: Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) slashing damage plus 9 (2d8) psychic damage.",None,not in this JSON,Sire of Insanity - Monsters | DnD Wiki,"Sire of Insanity is a CR 12, Chaotic Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Skittering Horror,Huge aberration,Lawful Evil,17 (natural armor),228 (24d12 + 72),40ft.,22,16,17,2,14,18,None,"perception: +7, stealth: +8",radiant,None,None,frightened,"darkvision 120 ft., passive perception 17",error,15,"
Spider Climb: The horror can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Sunlight Sensitivity: While in sunlight, the horror has disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight.","
Multiattack: The horror can use its Maddening Presence and make three attacks: one with its bite and two with its claws.
Bite: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 28 (4d10 + 6) piercing damage.
Claws: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 24 (4d8 + 6) slashing damage.
Maddening Presence: The horror targets one creature it can see within 30 feet of it. If the target can see or hear the horror, the target must make a DC: 17 Wisdom saving throw. On a failed saving throw, the target becomes paralyzed until the end of its next turn. If a creature's saving throw is successful, the creature is immune to the horror's Maddening Presence for the next 24 hours.",None,not in this JSON,Skittering Horror - Monsters | DnD Wiki,"Skittering Horror is a CR 15, Lawful Evil, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Skyjek Roc,Large monstrosity,Unaligned,15 ( breastplate),37 (5d10 + 10),"20ft., fly 90ft.",20,13,14,3,10,8,"Dex: +3, Wis: +2",perception: +2,None,None,None,None,passive perception 12,error,2,"
Keen Sight: The roc has advantage on Wisdom (Perception) checks that rely on sight.","
Multiattack: The roc makes two attacks: one with its beak and one with its talons.
Beak: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage.
Talons: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (2d4 + 5) slashing damage.",None,not in this JSON,Skyjek Roc - Monsters | DnD Wiki,"Skyjek Roc is a CR 2, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Skyswimmer,Gargantuan monstrosity,Unaligned,18 (natural armor),216 (16d20 + 48),"10ft., fly 60ft.",23,15,16,7,12,6,Con: +8,perception: +6,None,None,None,None,passive perception 16,error,13,"
Amphibious: The skyswimmer can breathe air and water.","
Multiattack: The skyswimmer makes three attacks: one with its bite and two with its slam.
Bite: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) piercing damage. If the target is a Large or smaller creature, it must succeed on a DC: 19 Dexterity saving throw or be swallowed by the skyswimmer. A swallowed creature is blinded and restrained, it has total cover against attacks and other effects outside the skyswimmer, and it takes 21 (6d6) acid damage at the start of each of the skyswimmer's turns. If the skyswimmer takes 30 damage or more on a single turn from the swallowed creature, the skyswimmer must succeed on a DC: 18 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 feet of the skyswimmer. If the skyswimmer dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 feet of movement, exiting prone.
Slam: Melee Weapon Attack: +11 to hit, reach 30 ft., one target. Hit: 19 (2d12 + 6) bludgeoning damage.",None,not in this JSON,Skyswimmer - Monsters | DnD Wiki,"Skyswimmer is a CR 13, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Soldier,Medium humanoid,Any Alignment,18 ( chain mail),16 (3d8 + 3),30ft.,13,12,12,10,11,11,None,"perception: +2, athletics: +3",None,None,None,None,passive perception 12,any one language (usually Common),1/2,"
Formation Tactics: The soldier has advantage on saving throws against being charmed, frightened, grappled, or restrained while it is within 5 feet of at least one ally.","
Multiattack: The soldier makes two melee attacks.
Longsword: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2) slashing damage if used with two hands.",None,not in this JSON,Soldier - Monsters | DnD Wiki,"Soldier is a CR 1/2, Any Alignment, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Sphinx of Judgment,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Sphinx of Judgment - Monsters | DnD Wiki,"Sphinx of Judgment is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Sunder Shaman,Huge giant,Chaotic Neutral,20 (stone armor),138 (12d12 + 60),40ft.,23,15,21,10,12,9,"Dex: +6, Con: +9, Wis: +5","athletics: +10, perception: +5",None,None,None,None,"darkvision 60 ft., passive perception 15",Giant,10,"
Reckless: At the start of its turn, the giant can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.
Siege Monster: The giant deals double damage to objects and structures.
Stone Camouflage: The giant has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.","
Multiattack: The giant makes two slam attacks. The first of those attacks that hits deals an extra 18 (4d8) damage if the giant has taken damage since its last turn.
Slam: Melee Weapon Attack: +10 to hit, reach 15 ft., one target. Hit: 24 (4d8 + 6) bludgeoning damage.
Rock: Ranged Weapon Attack: +10 to hit, range 60/240 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage. If the target is a creature, it must succeed on a DC: 18 Strength saving throw or be knocked prone.",None,not in this JSON,Sunder Shaman - Monsters | DnD Wiki,"Sunder Shaman is a CR 10, Chaotic Neutral, giant, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Thought Spy,Medium humanoid,Lawful Evil,13 ( leather armor),27 (6d8),30ft.,11,14,10,16,13,14,None,"deception: +6, insight: +3, investigation: +5, perception: +3, sleight of hand: +4, stealth: +4",None,None,None,None,"darkvision 30 ft., passive perception 13",Common plus any one language,1,"
Cunning Action: On each of its turns, the thought spy can use a bonus action to take the Dash, Disengage, or Hide action.","
Multiattack: The thought spy makes two melee attacks, or it makes three ranged attacks with its daggers.
Dagger: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.
Rapier: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",None,not in this JSON,Thought Spy - Monsters | DnD Wiki,"Thought Spy is a CR 1, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Trostani,Large fey,Neutral Good,17 (natural armor),252 (24d10 + 120),30ft.,19,14,20,16,30,25,"Con: +11, Wis: +16, Cha: +13","arcana: +9, insight: +16, nature: +9, perception: +16, persuasion: +13",None,None,None,"charmed, grappled","darkvision 120 ft., passive perception 26","Common, Druidic, Elvish, Sylvan",18,"
Legendary Resistance (3/Day): If Trostani fails a saving throw, she can choose to succeed instead.
Magic Resistance: Trostani has advantage on saving throws against spells and other magical effects.
Magic Weapons: Trostani's weapon attacks are magical.
Speak with Beasts and Plants: Trostani can communicate with beasts and plants as if they shared a language.
Tree Stride: Once on her turn, Trostani can use 10 feet of her movement to step magically into one living tree within her reach and emerge from a second living tree within 60 feet of the first tree, appearing in an unoccupied space within 5 feet of the second tree. Both trees must be Large or bigger.","
Multiattack: Trostani takes three actions: she uses Constrict and Touch of Order, and she casts a spell with a casting time of 1 action.
Constrict: Melee Weapon Attack: +11 to hit, reach 5 ft., one creature. Hit: 15 (3d6 + 5) bludgeoning damage, and the target is grappled (escape DC: 19). Until this grapple ends, the target is restrained. Trostani can grapple no more than three targets at a time.
Touch of Order: {@atk ms +16 to hit, reach 5 ft., one creature. Hit: 23 (3d8 + 10) radiant damage, and Trostani can choose one magic item she can see in the target's possession. Unless it's an artifact, the item's magic is suppressed until the start of Trostani's next turn.
Wrath of Mat'Selesnya  - Recharge  5: Trostani conjures a momentary whirl of branches and vines at a point she can see within 60 feet of her. Each creature in a 30-foot cube on that point must make a DC: 24 Dexterity saving throw, taking 21 (6d6) bludgeoning damage and 21 (6d6) slashing damage on a failed save, or half as much damage on a successful one.",None,not in this JSON,Trostani - Monsters | DnD Wiki,"Trostani is a CR 18, Neutral Good, fey, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Undercity Medusa,Medium monstrosity,Lawful Evil,16 (natural armor),120 (16d8 + 48),30ft.,16,18,16,17,12,15,None,"deception: +5, insight: +4, perception: +4, stealth: +7",None,None,None,None,"darkvision 60 ft., passive perception 14","Common, Elvish",6,"
Magic Resistance: The medusa has advantage on saving throws against spells and other magical effects.
Surprise Attack: During the first round of combat, the medusa has advantage on attack rolls against any creature that is surprised, and it deals an extra 10 (3d6) damage each time it hits such a creature with an attack.","
Multiattack: The medusa makes two claw attacks. It can also use Petrifying Gaze before or after making these attacks.
Claw: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.
Petrifying Gaze: The medusa fixes its gaze on one creature within 60 feet of it that it can see and that can see its eyes. The target must make a DC: 14 Constitution saving throw. If the saving throw fails by 5 or more, the creature is instantly petrified. Otherwise, a creature that fails the save begins to turn to stone and is restrained. The restrained creature must repeat the saving throw at the end of its next turn, becoming petrified on a failure or ending the effect on a success. The petrification lasts until the creature is freed by a greater restoration spell or similar magic.",None,not in this JSON,Undercity Medusa - Monsters | DnD Wiki,"Undercity Medusa is a CR 6, Lawful Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Winged Thrull,Small construct,Unaligned,12,31 (7d6 + 7),"30ft., fly 30ft.",9,15,12,8,9,8,Dex: +4,None,None,None,poison,"exhaustion, poisoned","darkvision 60 ft., passive perception 9","""understands Common but cant speak""",1/2,error,"
Claws: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.
Rock: Ranged Weapon Attack: +4 to hit, range 20/60 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",None,not in this JSON,Winged Thrull - Monsters | DnD Wiki,"Winged Thrull is a CR 1/2, Unaligned, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Wurm,Huge monstrosity,Unaligned,18 (natural armor),200 (16d12 + 96),50ft.,24,10,22,3,12,4,"Con: +11, Wis: +6",None,None,None,None,None,"blindsight 60 ft., tremorsense 60 ft., passive perception 11",error,14,"
Siege Monster: The wurm deals double damage to objects and structures.
Earth Tremors: The wurm creates earth tremors as it moves overland or underground. Any creature that comes within 30 feet of the moving wurm for the first time on a turn must succeed on a {@dc 20 Dexterity saving throw or take 10 (3d6) bludgeoning damage and fall prone. Any structure or object anchored to the ground that comes within 30 feet of the moving wurm for the first time on a turn takes 10 (3d6) force damage.
Tunneler: The wurm can burrow through solid rock at half its burrow speed and leaves a 10-foot-diameter tunnel in its wake.","
Bite: Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 24 (5d6 + 7) piercing damage. If the target is a Medium or smaller creature, it must succeed on a DC: 20 Dexterity saving throw or be swallowed by the wurm. A swallowed creature is blinded and restrained, has total cover against attacks and other effects outside the wurm, and takes 17 (5d6) acid damage at the start of each of the wurm's turns. If the wurm takes 30 damage or more on a single turn from a creature inside it, the wurm must succeed on a DC: 21 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the wurm. If the wurm dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 20 feet of movement, exiting prone.",None,not in this JSON,Wurm - Monsters | DnD Wiki,"Wurm is a CR 14, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Zegana,Medium humanoid,Lawful Neutral,16 (natural armor),130 (20d8 + 40),"30ft., swim 40ft.",11,14,14,20,18,16,"Int: +10, Wis: +9","insight: +9, nature: +10, perception: +9",None,"cold, poison",None,None,"darkvision 60 ft., passive perception 19","Common, Elvish, Merfolk",16,"
Amphibious: Zegana can breathe air and water.
Legendary Resistance (3/Day): If Zegana fails a saving throw, she can choose to succeed instead.
Magic Resistance: Zegana has advantage on saving throws against spells and other magical effects.","
Prime Speaker's Trident: Melee or Ranged Weapon Attack: ++10 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 12 (2d6 + 5) piercing damage, and the trident emits a thunderous boom. Each creature in a 15-foot cube originating from the prongs of the trident must make a DC: 18 Constitution saving throw. On a failed save, the creature takes 9 (2d8) thunder damage and is pushed 10 feet away from Zegana. If the creature is underwater, the damage is increased to 13 (3d8). On a successful save, the creature takes half as much damage and isn't pushed.
Deluge  - Recharge  4: Zegana conjures a wave of water that crashes down on an area within 120 feet of her. The area can be up to 30 feet long, up to 10 feet wide, and up to 10 feet tall. Each creature in that area must make a DC: 18 Dexterity saving throw. On a failed save, a creature takes 18 (4d8) bludgeoning damage and is knocked prone. On a successful save, a creature takes half as much damage and isn't knocked prone. The water spreads out across the ground, extinguishing unprotected flames it comes in contact with, and then vanishes.",None,not in this JSON,Zegana - Monsters | DnD Wiki,"Zegana is a CR 16, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ggr.json
Amphisbaena,Medium monstrosity,Unaligned,14,11 (2d8 + 2),"30ft., swim 30ft.",14,18,12,3,10,3,None,perception: +2,None,None,None,None,"blindsight 10 ft., passive perception 12",error,1/2,"
Two Heads: The amphisbaena has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.","
Multiattack: The amphisbaena makes two bite attacks.
Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) piercing damage, and the target must make a DC: 11 Constitution saving throw, taking 3 (1d6) poison damage on a failed save, or half as much damage on a successful one.",None,not in this JSON,Amphisbaena - Monsters | DnD Wiki,"Amphisbaena is a CR 1/2, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Barnacle Bess,NOT FOUND NOT FOUND,Lawful Neutral,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,Common,NOT FOUND,error,error,None,not in this JSON,Barnacle Bess - Monsters | DnD Wiki,"Barnacle Bess is a CR NOT FOUND, Lawful Neutral, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Bullywug Croaker,Medium humanoid,Neutral Evil,15 ( hide armor),33 (6d8 + 6),"20ft., swim 40ft.",14,12,12,7,15,10,Con: +3,"perception: +4, stealth: +3",None,None,None,None,passive perception 14,Bullywug,2,"
Amphibious: The croaker can breathe air and water.
Speak with Frogs and Toads: The croaker can communicate simple concepts to frogs and toads when it speaks in Bullywug.
Standing Leap: The croaker's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Swamp Camouflage: The croaker has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.","
Spear: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.
Glaaar-pat (3/Day): The croaker sings a song of marshy doom. Each chosen creature within 30 feet of the croaker that can hear the song must make a DC: 12 Wisdom saving throw, taking 9 (2d8) psychic damage on a failed save, or half as much damage on a successful one. A creature that fails this saving throw also has disadvantage on Constitution saving throws until the end of its next turn.
Rooooo-glog (1/Day): The croaker sings an ode to an elder froghemoth. Each bullywug within 30 feet of the croaker that can hear the song gains 10 temporary hit points.",None,not in this JSON,Bullywug Croaker - Monsters | DnD Wiki,"Bullywug Croaker is a CR 2, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Bullywug Royal,Medium humanoid,Neutral Evil,15 ( hide armor),52 (8d8 + 16),"20ft., swim 40ft.",16,12,14,10,11,14,"Str: +5, Dex: +3","athletics: +5, intimidation: +4, stealth: +3",None,None,None,None,passive perception 10,Bullywug,3,"
Amphibious: The royal can breathe air and water.
Brute: A melee weapon deals one extra die of its damage when the royal hits with it (included in the attack).
Frog Rider: The royal has advantage on melee attacks made while riding a frog mount.
Speak with Frogs and Toads: The royal can communicate simple concepts to frogs and toads when it speaks in Bullywug.
Standing Leap: The royal's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Swamp Camouflage: The royal has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.","
Multiattack: The royal makes two attacks: one with its royal spear and one with its bite.
Royal Spear: Melee or Ranged Weapon Attack: ++5 to hit, reach 10 ft. or range 20/60 ft., one target. Hit: 10 (2d6 + 3) piercing damage, or 12 (2d8 + 3) piercing damage if used with two hands to make a melee attack. If the target is a Medium or smaller creature, it must succeed on a DC: 13 Strength saving throw or be knocked prone.
Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.
Croaked Decree (1/Day): The royal makes a loud pronouncement. Each bullywug within 60 feet of the royal that can hear the pronouncement has advantage on its next attack roll.",None,not in this JSON,Bullywug Royal - Monsters | DnD Wiki,"Bullywug Royal is a CR 3, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Captain Xendros,NOT FOUND NOT FOUND,Chaotic Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Captain Xendros - Monsters | DnD Wiki,"Captain Xendros is a CR NOT FOUND, Chaotic Evil, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
Drowned Ascetic,Medium undead,Chaotic Evil,13,75 (10d8 + 30),30ft.,12,16,16,3,9,5,Dex: +5,None,None,None,poison,poisoned,"darkvision 60 ft., passive perception 9","""understands the languages it knew in life but cant speak""",3,"
Bottom Treader: The drowned ascetic cannot swim, and it sinks to the bottom of any body of water. It takes no penalties to its movement or attacks underwater. It is immune to the effects of being underwater at a depth greater than 100 feet.
Bound Together: The drowned ascetic shares its mind with every other drowned one within 1 mile of it, and can communicate its thoughts and observations to them instantaneously and without limitation.
Undead Fortitude: If damage reduces the drowned ascetic to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the drowned ascetic drops to 1 hit point instead.","
Multiattack: The drowned ascetic makes three unarmed strikes.
Unarmed Strike: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage, and the target must succeed on a DC: 12 Constitution saving throw or contract bluerot (see the ""Bluerot"" in notes).",None,not in this JSON,Drowned Ascetic - Monsters | DnD Wiki,"Drowned Ascetic is a CR 3, Chaotic Evil, undead, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-gos.json
